Tiempo Qualy (segundos);Tyre Stress;Lateral energy;Asphalt Grip;Asphalt Abrasion;Downforce;Presupuesto (mill. Euros);Race;Año;Length (km);Curva lenta;Curva media;Curva rapida;procentaje de tiempo con el acelerador a fondo;porcentaje de tiempo de frenada
83,485;1;2;1;3;4;429,5;Australia;2017;5,303;6;4;5;64;13
81,879;1;2;1;3;4;350;Australia;2018;5,303;6;4;5;64;13
81,32;1;2;1;3;4;260;Australia;2019;5,303;6;4;5;64;13
69,687;3;3;4;5;2;429,5;Bahrain;2017;5,412;3;7;2;64;16
69,378;3;3;4;5;2;350;Bahrain;2018;5,412;3;7;2;64;16
68,752;3;3;4;5;2;260;Bahrain;2019;5,412;3;7;2;64;16
95,433;4;4;3;3;2;429,5;China;2017;5,451;5;4;3;55;15
91,796;4;4;3;3;2;350;China;2018;5,451;5;4;3;55;15
92,089;4;4;3;3;2;260;China;2019;5,451;5;4;3;55;15
101,789;3;2;2;1;2;429,5;Azerbaijan;2017;6,003;7;5;4;65;10
101,994;3;2;2;1;2;350;Azerbaijan;2018;6,003;7;5;4;65;10
101,069;3;2;2;1;2;260;Azerbaijan;2019;6,003;7;5;4;65;10
79,706;4;4;4;3;4;429,5;Spain;2017;4,655;5;7;1;60;13
76,816;4;4;4;3;4;350;Spain;2018;4,655;5;7;1;60;13
76,357;4;4;4;3;4;260;Spain;2019;4,655;5;7;1;60;13
72,496;1;1;1;1;5;429,5;Monaco;2017;3,337;9;4;3;45;25
70,973;1;1;1;1;5;350;Monaco;2018;3,337;9;4;3;45;25
70,618;1;1;1;1;5;260;Monaco;2019;3,337;9;4;3;45;25
72,403;2;1;1;1;2;429,5;Canada;2017;4,361;3;3;2;60;17
70,937;2;1;1;1;2;350;Canada;2018;4,361;3;3;2;60;17
71,06;2;1;1;1;2;260;Canada;2019;4,361;3;3;2;60;17
91,237;4;4;3;3;3;429,5;France;2017;5,842;6;6;4;60;10
90,705;4;4;3;3;3;350;France;2018;5,842;6;6;4;60;10
89,409;4;4;3;3;3;260;France;2019;5,842;6;6;4;60;10
64,983;2;3;2;1;3;429,5;Austria;2017;4,318;1;5;3;60;14
63,84;2;3;2;1;3;350;Austria;2018;4,318;1;5;3;60;14
63,439;2;3;2;1;3;260;Austria;2019;4,318;1;5;3;60;14
88,13;5;5;4;3;4;429,5;Britain;2017;5,891;3;6;6;66;9
86,602;5;5;4;3;4;350;Britain;2018;5,891;3;6;6;66;9
85,276;5;5;4;3;4;260;Britain;2019;5,891;3;6;6;66;9
72,159;3;3;3;2;3;429,5;Germany;2017;4,574;3;6;3;65;15
71,822;3;3;3;2;3;350;Germany;2018;4,574;3;6;3;65;15
72,113;3;3;3;2;3;260;Germany;2019;4,574;3;6;3;65;15
76,797;3;4;4;3;4;429,5;Hungary;2017;4,381;4;5;4;55;14
98,032;3;4;4;3;4;350;Hungary;2018;4,381;4;5;4;55;14
74,572;3;4;4;3;4;260;Hungary;2019;4,381;4;5;4;55;14
103,38;5;5;4;4;2;429,5;Belgium;2017;7,004;4;4;8;70;14
122,769;5;5;4;4;2;350;Belgium;2018;7,004;4;4;8;70;14
103,69;5;5;4;4;2;260;Belgium;2019;7,004;4;4;8;70;14
96,702;5;2;2;3;1;429,5;Italy;2017;5,793;3;4;7;74;11
80,615;5;2;2;3;1;350;Italy;2018;5,793;3;4;7;74;11
79,903;5;2;2;3;1;260;Italy;2019;5,793;3;4;7;74;11
99,814;1;2;1;3;5;429,5;Singapore;2017;5,065;11;5;1;45;21
96,334;1;2;1;3;5;350;Singapore;2018;5,065;11;5;1;45;21
96,813;1;2;1;3;5;260;Singapore;2019;5,065;11;5;1;45;21
95,161;1;3;3;2;4;429,5;Russia;2017;5,848;5;9;2;56;10
93,048;1;3;3;2;4;350;Russia;2018;5,848;5;9;2;56;10
92,31;1;3;3;2;4;260;Russia;2019;5,848;5;9;2;56;10
88,332;5;5;4;3;3;429,5;Japan;2017;5,807;3;8;4;6;6,5
89,057;5;5;4;3;3;350;Japan;2018;5,807;3;8;4;6;6,5
87,851;5;5;4;3;3;260;Japan;2019;5,807;3;8;4;6;6,5
93,658;3;4;2;3;3;429,5;United States;2017;5,513;9;7;1;48;15
93,542;3;4;2;3;3;350;United States;2018;5,513;9;7;1;48;15
92,096;3;4;2;3;3;260;United States;2019;5,513;9;7;1;48;15
76,574;3;2;2;2;4;429,5;Mexico;2017;4,304;6;7;6;45;10
74,785;3;2;2;2;4;350;Mexico;2018;4,304;6;7;6;45;10
74,758;3;2;2;2;4;260;Mexico;2019;4,304;6;7;6;45;10
68,925;3;4;3;3;4;429,5;Brazil;2017;4,309;1;6;7;60;16
67,778;3;4;3;3;4;350;Brazil;2018;4,309;1;6;7;60;16
67,508;3;4;3;3;4;260;Brazil;2019;4,309;1;6;7;60;16
97,328;2;3;2;2;3;429,5;Abu Dhabi;2017;5,554;8;5;4;60;17
95,589;2;3;2;2;3;350;Abu Dhabi;2018;5,554;8;5;4;60;17
95,139;2;3;2;2;3;260;Abu Dhabi;2019;5,554;8;5;4;60;17
