Tiempo Qualy (segundos);Tyre Stress;Lateral energy;Asphalt Grip;Asphalt Abrasion;Downforce;Length (km);Presupuesto (mill. Euros);Race;Año
81.32;1;2;1;3;4;5.303;260;Australia;2019
68.752;3;3;4;5;2;5.412;260;Bahrain;2019
92.089;4;4;3;3;2;5.451;260;China;2019
101.069;3;2;2;1;2;6.003;260;Azerbaijan;2019
76.357;4;4;4;3;4;4.655;260;Spain;2019
70.618;1;1;1;1;5;3.337;260;Monaco;2019
71.06;2;1;1;1;2;4.361;260;Canada;2019
89.409;4;4;3;3;3;5.842;260;France;2019
63.439;2;3;2;1;3;4.318;260;Austria;2019
85.276;5;5;4;3;4;5.891;260;Britain;2019
72.113;3;3;3;2;3;4.574;260;Germany;2019
74.572;3;4;4;3;4;4.381;260;Hungary;2019
103.69;5;5;4;4;2;7.004;260;Belgium;2019
79.903;5;2;2;3;1;5.793;260;Italy;2019
96.813;1;2;1;3;5;5.065;260;Singapore;2019
92.31;1;3;3;2;4;5.848;260;Russia;2019
87.851;5;5;4;3;3;5.807;260;Japan;2019
92.096;3;4;2;3;3;5.513;260;United States;2019
74.758;3;2;2;2;4;4.304;260;Mexico;2019
67.508;3;4;3;3;4;4.309;260;Brazil;2019
95.139;2;3;2;2;3;5.554;260;Abu Dhabi;2019
