Edad;Sexo;Comunidades y Ciudades Autónomas;Periodo;Total
Total;Ambos sexos;Total Nacional;2021T2;15,26
Total;Ambos sexos;Total Nacional;2021T1;15,98
Total;Ambos sexos;Total Nacional;2020T4;16,13
Total;Ambos sexos;Total Nacional;2020T3;16,26
Total;Ambos sexos;Total Nacional;2020T2;15,33
Total;Ambos sexos;Total Nacional;2020T1;14,41
Total;Ambos sexos;Total Nacional;2019T4;13,78
Total;Ambos sexos;Total Nacional;2019T3;13,92
Total;Ambos sexos;Total Nacional;2019T2;14,02
Total;Ambos sexos;Total Nacional;2019T1;14,70
Total;Ambos sexos;Total Nacional;2018T4;14,45
Total;Ambos sexos;Total Nacional;2018T3;14,55
Total;Ambos sexos;Total Nacional;2018T2;15,28
Total;Ambos sexos;Total Nacional;2018T1;16,74
Total;Ambos sexos;Total Nacional;2017T4;16,55
Total;Ambos sexos;Total Nacional;2017T3;16,38
Total;Ambos sexos;Total Nacional;2017T2;17,22
Total;Ambos sexos;Total Nacional;2017T1;18,75
Total;Ambos sexos;Total Nacional;2016T4;18,63
Total;Ambos sexos;Total Nacional;2016T3;18,91
Total;Ambos sexos;Total Nacional;2016T2;20,00
Total;Ambos sexos;Total Nacional;2016T1;21,00
Total;Ambos sexos;Total Nacional;2015T4;20,90
Total;Ambos sexos;Total Nacional;2015T3;21,18
Total;Ambos sexos;Total Nacional;2015T2;22,37
Total;Ambos sexos;Total Nacional;2015T1;23,78
Total;Ambos sexos;Total Nacional;2014T4;23,70
Total;Ambos sexos;Total Nacional;2014T3;23,67
Total;Ambos sexos;Total Nacional;2014T2;24,47
Total;Ambos sexos;Total Nacional;2014T1;25,93
Total;Ambos sexos;Total Nacional;2013T4;25,73
Total;Ambos sexos;Total Nacional;2013T3;25,65
Total;Ambos sexos;Total Nacional;2013T2;26,06
Total;Ambos sexos;Total Nacional;2013T1;26,94
Total;Ambos sexos;Total Nacional;2012T4;25,77
Total;Ambos sexos;Total Nacional;2012T3;24,79
Total;Ambos sexos;Total Nacional;2012T2;24,40
Total;Ambos sexos;Total Nacional;2012T1;24,19
Total;Ambos sexos;Total Nacional;2011T4;22,56
Total;Ambos sexos;Total Nacional;2011T3;21,28
Total;Ambos sexos;Total Nacional;2011T2;20,64
Total;Ambos sexos;Total Nacional;2011T1;21,08
Total;Ambos sexos;Total Nacional;2010T4;20,11
Total;Ambos sexos;Total Nacional;2010T3;19,59
Total;Ambos sexos;Total Nacional;2010T2;19,89
Total;Ambos sexos;Total Nacional;2010T1;19,84
Total;Ambos sexos;Total Nacional;2009T4;18,66
Total;Ambos sexos;Total Nacional;2009T3;17,75
Total;Ambos sexos;Total Nacional;2009T2;17,77
Total;Ambos sexos;Total Nacional;2009T1;17,24
Total;Ambos sexos;Total Nacional;2008T4;13,79
Total;Ambos sexos;Total Nacional;2008T3;11,23
Total;Ambos sexos;Total Nacional;2008T2;10,36
Total;Ambos sexos;Total Nacional;2008T1;9,60
Total;Ambos sexos;Total Nacional;2007T4;8,57
Total;Ambos sexos;Total Nacional;2007T3;8,01
Total;Ambos sexos;Total Nacional;2007T2;7,93
Total;Ambos sexos;Total Nacional;2007T1;8,42
Total;Ambos sexos;Total Nacional;2006T4;8,26
Total;Ambos sexos;Total Nacional;2006T3;8,08
Total;Ambos sexos;Total Nacional;2006T2;8,44
Total;Ambos sexos;Total Nacional;2006T1;9,03
Total;Ambos sexos;Total Nacional;2005T4;8,71
Total;Ambos sexos;Total Nacional;2005T3;8,41
Total;Ambos sexos;Total Nacional;2005T2;9,32
Total;Ambos sexos;Total Nacional;2005T1;10,17
Total;Ambos sexos;Total Nacional;2004T4;10,53
Total;Ambos sexos;Total Nacional;2004T3;10,74
Total;Ambos sexos;Total Nacional;2004T2;11,09
Total;Ambos sexos;Total Nacional;2004T1;11,50
Total;Ambos sexos;Total Nacional;2003T4;11,37
Total;Ambos sexos;Total Nacional;2003T3;11,30
Total;Ambos sexos;Total Nacional;2003T2;11,28
Total;Ambos sexos;Total Nacional;2003T1;11,99
Total;Ambos sexos;Total Nacional;2002T4;11,61
Total;Ambos sexos;Total Nacional;2002T3;11,49
Total;Ambos sexos;Total Nacional;2002T2;11,15
Total;Ambos sexos;Total Nacional;2002T1;11,55
